Dates,Bargi,Hirakud,indirasagar,Maithon,Mettur,Panchet,Pench,Rihand,Sriramsagar,Tenughat,Tilaiya
8/13/2000,,,,,,,,,,250.92,
9/2/2001,,,,,,,,,,250.45,
9/3/2001,,,,,,,,,,250.65,
6/12/2003,,,,,,,,,,254.24,
6/13/2003,,,,,,,,,,254.24,
6/14/2003,,,,,,,,,,254.24,
6/15/2003,,,,,,,,,,254.24,
6/16/2003,,,,,,,,,,254.24,
7/1/2003,,,200.25,,,,,,,,
7/2/2003,,,203.7,,,,,,,,
7/3/2003,,,210,,,,,,,,
7/4/2003,,,217,,,,,,,,
7/5/2003,,,219.1,,,,,,,,
7/6/2003,,,219.6,,,,,,,,
7/7/2003,,,219.7,,,,,,,,
7/8/2003,,,219.7,,,,,,,,
7/9/2003,,,219.6,,,,,,,,
7/10/2003,,,219.3,,,,,,,,
7/11/2003,,,218.2,,,,,,,,
7/12/2003,,,217,,,,,,,,
7/13/2003,,,215.3,,,,,,,,
7/14/2003,,,213.7,,,,,,,,
7/15/2003,,,211.6,,,,,,,,
7/16/2003,,,209.1,,,,,,,,
7/17/2003,,,207.8,,,,,,,,
7/18/2003,,,212.2,,,,,,,,
7/19/2003,,,213.8,,,,,,,,
7/20/2003,,,214,,,,,,,,
7/21/2003,,,213.6,,,,,,,,
7/22/2003,,,215.7,,,,,,,,
7/23/2003,,,217.8,,,,,,,,
7/24/2003,,,218.8,,,,,,,,
7/25/2003,,,219.8,,,,,,,,
8/1/2003,,,228.1,,,,,,,,
8/2/2003,,,227,,,,,,,,
8/3/2003,,,226.4,,,,,,,,
8/4/2003,,,225.7,,,,,,,,
8/5/2003,,,225.5,,,,,,,,
8/6/2003,,,225.3,,,,,,,,
8/7/2003,,,225.3,,,,,,,,
8/8/2003,,,225.6,,,,,,,,
8/9/2003,,,227.4,,,,,,,,
8/10/2003,,,228,,,,,,,,
8/11/2003,,,227.8,,,,,,,,
8/12/2003,,,227.8,,,,,,,,
8/23/2003,,,228.1,,,,,,,,
8/30/2003,,,227.6,,,,,,,,
8/31/2003,,,227.6,,,,,,,,
10/9/2003,,,227.3,,,,,,,,
10/10/2003,,,227.1,,,,,,,,
10/11/2003,,,226.7,,,,,,,,
10/12/2003,,,226.2,,,,,,,,
10/13/2003,,,226.1,,,,,,,,
10/14/2003,,,225.8,,,,,,,,
10/15/2003,,,225.6,,,,,,,,
10/16/2003,,,225.3,,,,,,,,
10/17/2003,,,225.1,,,,,,,,
10/18/2003,,,224.8,,,,,,,,
10/19/2003,,,224.5,,,,,,,,
10/20/2003,,,224,,,,,,,,
10/21/2003,,,223.4,,,,,,,,
10/22/2003,,,222.5,,,,,,,,
10/23/2003,,,221.7,,,,,,,,
10/24/2003,,,220.8,,,,,,,,
10/25/2003,,,220,,,,,,,,
10/26/2003,,,219.1,,,,,,,,
10/27/2003,,,217.6,,,,,,,,
10/28/2003,,,216,,,,,,,,
10/29/2003,,,214.3,,,,,,,,
10/30/2003,,,212.2,,,,,,,,
10/31/2003,,,209.5,,,,,,,,
11/1/2003,,,206.9,,,,,,,,
11/2/2003,,,206.7,,,,,,,,
11/3/2003,,,206.4,,,,,,,,
11/4/2003,,,206.3,,,,,,,,
11/5/2003,,,206,,,,,,,,
11/6/2003,,,205.9,,,,,,,,
11/7/2003,,,205.7,,,,,,,,
11/8/2003,,,205.5,,,,,,,,
11/9/2003,,,205.2,,,,,,,,
11/10/2003,,,204.8,,,,,,,,
11/11/2003,,,204.5,,,,,,,,
11/12/2003,,,204.1,,,,,,,,
11/13/2003,,,203.8,,,,,,,,
11/14/2003,,,203.1,,,,,,,,
11/15/2003,,,202.5,,,,,,,,
11/16/2003,,,201.8,,,,,,,,
11/17/2003,,,200.8,,,,,,,,
11/18/2003,,,200.6,,,,,,,,
11/19/2003,,,210.2,,,,,,,,
11/20/2003,,,213.9,,,,,,,,
11/21/2003,,,216.8,,,,,,,,
11/22/2003,,,218,,,,,,,,
11/23/2003,,,219.7,,,,,,,,
11/24/2003,,,221,,,,,,,,
11/25/2003,,,222.25,,,,,,,,
11/26/2003,,,223.15,,,,,,,,
11/27/2003,,,224.15,,,,,,,,
11/28/2003,,,224.95,,,,,,,,
11/29/2003,,,225.7,,,,,,,,
11/30/2003,,,226.45,,,,,,,,
12/1/2003,,,227.15,,,,,,,,
12/2/2003,,,227.65,,,,,,,,
2/13/2004,,,,,,,,,,,349.49
2/14/2004,,,,,,,,,,,349.49
2/15/2004,,,,,,,,,,,349.49
2/16/2004,,,,,,,,,,,349.49
5/14/2006,,,,,,,,,,254.74,
5/15/2006,,,,,,,,,,254.72,
9/29/2013,,92.01,,,,,,,,,
11/4/2014,,,,,,,,,,,359.59
3/14/2016,,,,,,102.81,,,,,
4/29/2016,,,,,,,,,,,346.73
3/10/2017,146.1,,,,,,,,,,
6/8/2017,,,,122.8,,,,,,,
7/27/2017,,,,,,,,,,263.32,
5/21/2018,,,,,,,,,,,346.03
6/20/2018,,,,,,,,,,254.54,
6/21/2018,,,,,,,,,,254.36,
6/22/2018,,,,,,,,,,254.17,
6/23/2018,,,,,,,,,,254.07,
6/24/2018,,,,,,,,,,254.04,
6/25/2018,,,,,,,,,,254.04,
6/26/2018,,,,,,,,,,254.04,
6/27/2018,,,,,,,,,,254.2,
6/28/2018,,,,,,,,,,254.45,
6/29/2018,,,,,,,,,,254.58,
7/1/2019,,,,,,,,55.18,,,
10/13/2019,,,,,,,,236.16,,,
10/14/2019,,,,,,,,236.16,,,
