GRAND_ID,CWC_NAME,PFAF_ID,HYBAS_ID,GID_2,MAJ_BAS,SUB_BAS,PFAF_UP,PFAF_DN,SUB_UP,SUB_DN
4857,Tilaiya,[453146],[4060963930.0],['IND.15.10_1'],[5036],[36002],[],"[453141, 453143, 453145]",[],[]
4858,Rihand,[452438],[4060903120.0],"['IND.19.46_1', 'IND.34.72_1']",[5035],[35031],[],"[452100, 452300, 452411, 452413, 452415, 452417, 452419, 452431, 452433, 452435, 452437]",[35030],"[35029, 35032, 35034, 35046, 35048, 35084]"
4862,Maithon,[453146],[4060963930.0],"['IND.36.3_1', 'IND.15.11_1', 'IND.15.4_1']",[5036],[36002],[],"[453141, 453143, 453145]",[],[]
4863,Tenughat,[453149],[4060961650.0],"['IND.15.20_1', 'IND.15.1_1']",[5036],[36002],[],"[453141, 453143, 453145, 453147]",[],[]
4865,Panchet,[453147],[4060964080.0],"['IND.36.18_1', 'IND.15.4_1']",[5036],[36002],"[453148, 453149]","[453141, 453143, 453145]",[],[]
4881,Bargi,[454067],[4060979850.0],"['IND.19.40_1', 'IND.19.27_1', 'IND.19.24_1']",[5048],[48002],"[454068, 454069]","[454061, 454063, 454065]",[48001],"[48004, 48005, 48006, 48007, 48008, 48009, 48011, 48013, 48015, 48016, 48017]"
4898,Hirakud,"[453230, 453250, 453240]","[4061031590.0, 4061017990.0, 4061017890.0]","['IND.26.4_1', 'IND.26.28_1', 'IND.26.14_1']","[5038, 5038, 5038]","[38005, 38006, 38007]","[453240, 453250, 453260, 453270, 453280, 453291, 453292, 453293, 453294, 453295, 453296, 453297, 453298, 453299]","[453210, 453230]","[38001, 38002, 38003, 38004, 38005, 38006]","[38007, 38011, 38012]"
4946,Sriramsagar,"[453479, 453477, 453478]","[4061060950.0, 4061061290.0, 4061060870.0]","['IND.32.8_1', 'IND.32.1_1']",[5040],[40010],"[453478, 453479, 453481, 453482, 453483, 453484, 453485, 453486, 453487, 453488, 453489, 453491, 453492, 453493, 453494, 453495, 453496, 453497, 453498, 453499]","[453410, 453430, 453450, 453471, 453473, 453475, 453477]","[40001, 40002, 40003, 40004, 40005, 40006, 40007, 40008, 40009, 40011, 40012, 40014, 40015, 40016, 40017, 40018]","[40013, 40020, 40023]"
5014,Mettur,[453805],[4061145690.0],"['IND.31.18_1', 'IND.31.5_1', 'IND.16.8_1']",[5044],[44005],"[453806, 453807, 453808, 453809]","[453801, 453803]","[44001, 44002, 44003, 44004]",[44007]
6992,indirasagar,"[454062, 454061, 454063]","[4061001610.0, 4060031610.0, 4061001460.0]","['IND.19.18_1', 'IND.19.21_1', 'IND.19.15_1']","[5048, 5048, 5048]","[48011, 48009, 48010]","[454062, 454063, 454064, 454065, 454066, 454067, 454068, 454069]",[454061],"[48001, 48002, 48003, 48004, 48005, 48006, 48007, 48008, 48009, 48010]","[48011, 48013, 48015, 48016, 48017]"
0,Pench,[453464],[4061051450.0],['IND.20.19_1'],[5040],[40017],[],"[453410, 453430, 453450, 453461, 453463]",[],"[40010, 40013, 40014, 40015, 40016, 40020, 40023]"
