Reservoir,Plant,geospatial_name
Maithon,Adra STPP,
Rihand,Anpara C TPS or Lanco Anapara,ANPARA C TPS
Rihand,Anpara TPS,
indirasagar,Dada Dhuniwale Khandwa Power Ltd.,Dada Dhuniwale Khandwa Power Ltd.
Hirakud,Darlipali STPP,Darlipali STPP
Hirakud,IB Valley TPS,IB Valley TPS
Maithon,Jojobera TPS,JOJBERA
indirasagar,Khandwa Power Station,Khandwa Power Station
Pench,Khaparkheda TPS,Khaparkheda TPS
Rihand,Mahan TPP,
Maithon,Maithon TPP,MAITHON
Mettur,Mettur TPS,METTUR TPS EXT
Panchet,Raghunathpur TPS,RAGHUNATHPUR TPP PH-I
Sriramsagar,Ramagundam STPS,Ramagundam Solar Power Plant
Rihand,Rihand STPS,RIHAND
Panchet,Santaldih TPS,SANTALDIH
Rihand,Sasan UMTPP,
Bargi,Seioni TPP or Jhabua Power Seoni TPP,SEIONI TPP
Rihand,Singrauli STPP,SINGRAULI STPS
Hirakud,Sterlite (Jharsuguda) Thermal Power Plant,STERLITE TPP
Tilaiya,Talaiya Ultra Mega Power Project,Talaiya Ultra Mega Power Project
Tenughat,Tenughat Thermal Power Station Expansion,
Tenughat,Tenughat TPS,TENUGHAT
Hirakud,Visa Power Lt.d,Visa Steel Limited
